date,count,lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,working_hours_lawyers,late_hours_lawyers,web_visitor
2023-08-25,25,20.0,16.0,15.0,21.0,2.0,1.0,14.0,13.0,2.0,834.0
2023-08-26,4,25.0,20.0,16.0,15.0,21.0,2.0,1.0,4.0,2.0,323.0
2023-08-27,3,4.0,25.0,20.0,16.0,15.0,21.0,2.0,2.0,2.0,239.0
2023-08-28,30,3.0,4.0,25.0,20.0,16.0,15.0,21.0,8.0,5.0,866.0
2023-08-29,21,30.0,3.0,4.0,25.0,20.0,16.0,15.0,9.0,2.0,981.0
2023-08-30,22,21.0,30.0,3.0,4.0,25.0,20.0,16.0,9.0,6.0,1048.0
2023-08-31,20,22.0,21.0,30.0,3.0,4.0,25.0,20.0,10.0,3.0,828.0
2023-09-01,21,20.0,22.0,21.0,30.0,3.0,4.0,25.0,8.0,3.0,675.0
2023-09-02,5,21.0,20.0,22.0,21.0,30.0,3.0,4.0,4.0,3.0,299.0
2023-09-03,1,5.0,21.0,20.0,22.0,21.0,30.0,3.0,4.0,2.0,250.0
2023-09-04,33,1.0,5.0,21.0,20.0,22.0,21.0,30.0,12.0,7.0,768.0
2023-09-05,18,33.0,1.0,5.0,21.0,20.0,22.0,21.0,16.0,8.0,784.0
2023-09-06,23,18.0,33.0,1.0,5.0,21.0,20.0,22.0,18.0,6.0,774.0
2023-09-07,33,23.0,18.0,33.0,1.0,5.0,21.0,20.0,14.0,6.0,766.0
2023-09-08,32,33.0,23.0,18.0,33.0,1.0,5.0,21.0,17.0,7.0,734.0
2023-09-09,8,32.0,33.0,23.0,18.0,33.0,1.0,5.0,9.0,7.0,326.0
2023-09-10,5,8.0,32.0,33.0,23.0,18.0,33.0,1.0,10.0,7.0,275.0
2023-09-11,32,5.0,8.0,32.0,33.0,23.0,18.0,33.0,19.0,11.0,830.0
2023-09-12,43,32.0,5.0,8.0,32.0,33.0,23.0,18.0,9.0,11.0,739.0
2023-09-13,38,43.0,32.0,5.0,8.0,32.0,33.0,23.0,16.0,6.0,722.0
2023-09-14,48,38.0,43.0,32.0,5.0,8.0,32.0,33.0,18.0,8.0,855.0
2023-09-15,28,48.0,38.0,43.0,32.0,5.0,8.0,32.0,13.0,6.0,778.0
2023-09-16,10,28.0,48.0,38.0,43.0,32.0,5.0,8.0,8.0,5.0,326.0
2023-09-17,7,10.0,28.0,48.0,38.0,43.0,32.0,5.0,3.0,5.0,289.0
2023-09-18,47,7.0,10.0,28.0,48.0,38.0,43.0,32.0,9.0,9.0,828.0
2023-09-19,34,47.0,7.0,10.0,28.0,48.0,38.0,43.0,25.0,13.0,799.0
2023-09-20,37,34.0,47.0,7.0,10.0,28.0,48.0,38.0,22.0,12.0,704.0
2023-09-21,38,37.0,34.0,47.0,7.0,10.0,28.0,48.0,13.0,6.0,664.0
2023-09-22,21,38.0,37.0,34.0,47.0,7.0,10.0,28.0,18.0,12.0,664.0
2023-09-23,10,21.0,38.0,37.0,34.0,47.0,7.0,10.0,12.0,6.0,228.0
2023-09-24,11,10.0,21.0,38.0,37.0,34.0,47.0,7.0,8.0,8.0,177.0
2023-09-25,35,11.0,10.0,21.0,38.0,37.0,34.0,47.0,16.0,11.0,575.0
2023-09-26,38,35.0,11.0,10.0,21.0,38.0,37.0,34.0,18.0,9.0,626.0
2023-09-27,56,38.0,35.0,11.0,10.0,21.0,38.0,37.0,21.0,9.0,728.0
2023-09-28,32,56.0,38.0,35.0,11.0,10.0,21.0,38.0,12.0,8.0,506.0
2023-09-29,54,32.0,56.0,38.0,35.0,11.0,10.0,21.0,18.0,8.0,592.0
2023-09-30,21,54.0,32.0,56.0,38.0,35.0,11.0,10.0,11.0,9.0,248.0
2023-10-01,19,21.0,54.0,32.0,56.0,38.0,35.0,11.0,11.0,4.0,261.0
2023-10-02,13,19.0,21.0,54.0,32.0,56.0,38.0,35.0,13.0,8.0,333.0
2023-10-03,42,13.0,19.0,21.0,54.0,32.0,56.0,38.0,17.0,9.0,568.0
2023-10-04,54,42.0,13.0,19.0,21.0,54.0,32.0,56.0,16.0,10.0,600.0
2023-10-05,39,54.0,42.0,13.0,19.0,21.0,54.0,32.0,15.0,6.0,607.0
2023-10-06,1,39.0,54.0,42.0,13.0,19.0,21.0,54.0,1.0,6.0,592.0
2023-10-07,14,1.0,39.0,54.0,42.0,13.0,19.0,21.0,10.0,2.0,251.0
2023-10-08,8,14.0,1.0,39.0,54.0,42.0,13.0,19.0,6.0,3.0,233.0
2023-10-09,45,8.0,14.0,1.0,39.0,54.0,42.0,13.0,20.0,7.0,663.0
2023-10-10,42,45.0,8.0,14.0,1.0,39.0,54.0,42.0,21.0,9.0,613.0
2023-10-11,16,42.0,45.0,8.0,14.0,1.0,39.0,54.0,15.0,4.0,595.0
2023-10-12,14,16.0,42.0,45.0,8.0,14.0,1.0,39.0,11.0,1.0,678.0
2023-10-13,12,14.0,16.0,42.0,45.0,8.0,14.0,1.0,11.0,4.0,672.0
2023-10-14,13,12.0,14.0,16.0,42.0,45.0,8.0,14.0,7.0,5.0,418.0
2023-10-15,4,13.0,12.0,14.0,16.0,42.0,45.0,8.0,8.0,2.0,309.0
2023-10-16,23,4.0,13.0,12.0,14.0,16.0,42.0,45.0,12.0,5.0,566.0
2023-10-17,26,23.0,4.0,13.0,12.0,14.0,16.0,42.0,14.0,5.0,535.0
2023-10-18,21,26.0,23.0,4.0,13.0,12.0,14.0,16.0,11.0,2.0,620.0
2023-10-19,39,21.0,26.0,23.0,4.0,13.0,12.0,14.0,15.0,9.0,629.0
2023-10-20,24,39.0,21.0,26.0,23.0,4.0,13.0,12.0,12.0,3.0,564.0
2023-10-21,9,24.0,39.0,21.0,26.0,23.0,4.0,13.0,7.0,2.0,382.0
2023-10-22,17,9.0,24.0,39.0,21.0,26.0,23.0,4.0,7.0,3.0,381.0
2023-10-23,25,17.0,9.0,24.0,39.0,21.0,26.0,23.0,10.0,1.0,642.0
2023-10-24,28,25.0,17.0,9.0,24.0,39.0,21.0,26.0,16.0,7.0,512.0
2023-10-25,31,28.0,25.0,17.0,9.0,24.0,39.0,21.0,21.0,5.0,564.0
2023-10-26,41,31.0,28.0,25.0,17.0,9.0,24.0,39.0,19.0,5.0,730.0
2023-10-27,25,41.0,31.0,28.0,25.0,17.0,9.0,24.0,15.0,8.0,498.0
2023-10-28,9,25.0,41.0,31.0,28.0,25.0,17.0,9.0,2.0,2.0,320.0
2023-10-29,1,9.0,25.0,41.0,31.0,28.0,25.0,17.0,2.0,3.0,224.0
2023-10-30,35,1.0,9.0,25.0,41.0,31.0,28.0,25.0,16.0,11.0,491.0
2023-10-31,33,35.0,1.0,9.0,25.0,41.0,31.0,28.0,18.0,9.0,531.0
2023-11-01,16,33.0,35.0,1.0,9.0,25.0,41.0,31.0,26.0,2.0,516.0
2023-11-02,27,16.0,33.0,35.0,1.0,9.0,25.0,41.0,16.0,6.0,555.0
2023-11-03,29,27.0,16.0,33.0,35.0,1.0,9.0,25.0,11.0,7.0,478.0
2023-11-04,23,29.0,27.0,16.0,33.0,35.0,1.0,9.0,8.0,8.0,336.0
2023-11-05,27,23.0,29.0,27.0,16.0,33.0,35.0,1.0,8.0,8.0,286.0
2023-11-06,48,27.0,23.0,29.0,27.0,16.0,33.0,35.0,21.0,6.0,576.0
2023-11-07,43,48.0,27.0,23.0,29.0,27.0,16.0,33.0,23.0,5.0,598.0
2023-11-08,39,43.0,48.0,27.0,23.0,29.0,27.0,16.0,19.0,7.0,525.0
2023-11-09,30,39.0,43.0,48.0,27.0,23.0,29.0,27.0,21.0,6.0,519.0
2023-11-10,27,30.0,39.0,43.0,48.0,27.0,23.0,29.0,22.0,7.0,505.0
2023-11-11,12,27.0,30.0,39.0,43.0,48.0,27.0,23.0,9.0,0.0,255.0
2023-11-12,0,12.0,27.0,30.0,39.0,43.0,48.0,27.0,0.0,0.0,217.0
2023-11-13,30,0.0,12.0,27.0,30.0,39.0,43.0,48.0,14.0,8.0,482.0
